#{"t_start": 1781192784.7854083, "env_id": "None"}
r,l,t,distance_mm,is_success
16.164117,6,3.022506,1.7489638151800782,True
14.283186,8,3.023686,6.269883400445059,True
11.377672,11,3.02528,7.546970982415084,True
13.540884,7,3.026324,7.599415967157539,True
13.33655,10,3.027795,5.324120476370783,True
12.820135,3,3.028285,4.507184336846582,True
13.310843,6,3.029187,6.737859468086129,True
10.608614,12,3.030896,5.234934947829535,True
12.291845,6,3.031798,3.8110087413403035,True
14.10034,9,3.03311,5.9521151918053095,True
13.741932,6,3.034047,7.104097262218176,True
12.472344,1,3.03426,6.677431725582816,True
13.479825,7,3.035298,7.457260444364048,True
15.596675,4,3.03593,5.608594103218973,True
12.906658,3,3.036443,1.9574248691032703,True
14.206612,2,3.036802,7.862675126978664,True
13.326121,6,3.037702,7.567499619434809,True
14.547384,6,3.038596,4.281901643258388,True
11.369485,20,3.041398,6.47137189205352,True
